sample,x_new,y_new,time,year,rain0,rain1,vol,duration,turb,aws,new_name,qdna,B6,C6,C9,D4,D5,D6,D7,D9,E4,E5,E6,E7,E8,F5,F6,F7,F8,F9,G3,G4,G6,G7,G9,H10,H11,H3,H3_err,H4,H5,H7,H8,H9,I10,I11,I3,I4,I5,I6,I7,I8,I9,J10,J10a,J4,J5,J7,J8,J9,K10,K3,K4,K5,K6,K7,K8,K9,L10,L6,L7,L8,L9,M9,total_ct_within,nearest_ct,distance_to_nearest_ct
SPY180858,-1879502.3163255868,626973.0146494143,61620,2019,30.4,1.7,79,300,32.7,58773,Castor canadensis,15,1,1,1,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,27,K10,702
SPY182117,-1879502.3163255868,626973.0146494143,26400,2019,10.4,8.9,31,120,13.6,58773,Castor canadensis,20,1,1,1,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,27,K10,702
SPY182129,-1879502.3163255868,626973.0146494143,73800,2019,8.9,10.8,58,360,26.3,58773,Castor canadensis,12,1,1,1,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,27,K10,702
SPY182287,-1879502.3163255868,626973.0146494143,43080,2019,30.4,1.7,76,300,31,58773,Castor canadensis,37,1,1,1,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,27,K10,702
SPY182306,-1879502.3163255868,626973.0146494143,61620,2019,30.4,1.7,71,300,32.7,58773,Castor canadensis,19,1,1,1,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,1,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,27,K10,702
SPY192779,-1872376.927307288,638287.277159479,61440,2019,4.6,22.6,79,300,40.3,48075,Castor canadensis,20,NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,L6,912
SPY192781,-1872376.927307288,638287.277159479,60480,2019,10.8,30.4,79,300,39.2,48075,Castor canadensis,20,NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,L6,912
SPY192781,-1872376.927307288,638287.277159479,60480,2019,10.8,30.4,79,300,39.2,48075,Castor canadensis,12,NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,L6,912
SPY182267,-1872376.927307288,638287.277159479,61200,2019,10.4,8.9,54,120,22.5,48075,Castor canadensis,26,NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,L6,912
SPY192779,-1872376.927307288,638287.277159479,61440,2019,4.6,22.6,79,300,40.3,48075,Castor canadensis,12,NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,L6,912
